사용자 ID,가입 날짜,유입 경로,방문 날짜,페이지 방문 순서,장바구니 담기,결제 완료,결제 방식,디바이스 정보,마지막 방문 날짜
1001,2024-03-22,Coupang Ads,2024-03-23,홈 > 검색 > 제품 상세 > 주문 확인,No,No,-,Desktop,2024-07-26
1001,2024-03-22,Coupang Ads,2024-04-06,홈 > 카테고리 > 제품 목록 > 제품 상세 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,네이버페이,Desktop,2024-07-26
1001,2024-03-22,Google Search,2024-07-10,홈 > 검색 > 제품 상세 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,카카오페이,Mobile,2024-07-26
1001,2024-03-22,Naver Search,2024-07-22,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 주문 확인,Yes,No,-,Desktop,2024-07-26
1001,2024-03-22,Naver Search,2024-07-26,홈 > 카테고리 > 제품 목록 > 제품 상세 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,네이버페이,Mobile,2024-07-26
1002,2024-02-27,YouTube Ads,2024-03-07,홈 > 카테고리 > 제품 목록 > 상품 상세 > 주문 확인 > 결제,Yes,Yes,토스,Mobile,2024-07-15
1002,2024-02-27,YouTube Ads,2024-04-04,홈 > 검색 > 제품 상세 > 장바구니 > 주문 확인,Yes,No,-,Tablet,2024-07-15
1002,2024-02-27,Instagram Ads,2024-04-14,홈 > 검색 > 제품 상세 > 주문 확인,No,No,-,Mobile,2024-07-15
1002,2024-02-27,Facebook Ads,2024-07-15,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니,Yes,No,-,Tablet,2024-07-15
1003,2024-01-30,Instagram Ads,2024-02-12,홈 > 검색 > 제품 상세 > 주문 확인,No,No,-,Mobile,2024-07-26
1003,2024-01-30,Instagram Ads,2024-03-05,홈 > 카테고리 > 제품 목록 > 제품 상세 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,카카오페이,Mobile,2024-07-26
1003,2024-01-30,Google Search,2024-07-04,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,무통장 입금,Mobile,2024-07-26
1003,2024-01-30,Coupang Ads,2024-07-26,홈 > 카테고리 > 제품 목록,No,No,-,Mobile,2024-07-26
1004,2024-03-22,Instagram Ads,2024-03-30,홈 > 검색,No,No,-,Mobile,2024-07-30
1004,2024-03-22,Naver Shopping,2024-04-29,홈 > 검색 > 제품 상세 > 장바구니 > 주문 확인,Yes,No,-,Mobile,2024-07-30
